caminho	tamanho	hash_md5	logger	extensao	pista	carro	data	sessao	duplicata_de
Trabalho/Telemetria/SSD_Windows_CLAUDE/Motorsport/02_Outras_categorias/Sim_Racing/ohnespeed_ACC/Workbooks/Transmission.i2wkb	7904	443768f98651fc052af2d5f884d69176	MoTeC	i2wkb					
Trabalho/Telemetria/SSD_Windows_CLAUDE/Motorsport/02_Outras_categorias/Sim_Racing/ohnespeed_ACC/Workbooks/Base.i2wkb	135659	e3dabd3e291bc45443ec3180dbe0bfbc	MoTeC	i2wkb					
Trabalho/Telemetria/SSD_Windows_CLAUDE/Motorsport/02_Outras_categorias/Sim_Racing/I2/03 - MOTEC EXAMPLE LOGGED DATA/20200930-0364202_1.ldx	1384	899b65b04c1e97e7f6a2f66d8a9fd00c	MoTeC	ldx			20200930		Trabalho/Biblioteca/cursos/Data_Analysis_OneDrive/Data Analysis/I2/03 - MOTEC EXAMPLE LOGGED DATA/20200930-0364202_1.ldx
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_184605_Interlagos_4300133_c_1162.rrk	236352	d49bbbd2e2f5c3928f02e348eab92f11	AiM	rrk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_184605_Interlagos_4300133_c_1162.rrk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_173333_Interlagos_4300133_c_1158.rrk	235712	b3a8ab50c3f15fdac55100e4f4a6f180	AiM	rrk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_173333_Interlagos_4300133_c_1158.rrk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_161306_Interlagos_4300133_c_1154.rrk	334336	d6403babf3a8372775c5ffab01d8f085	AiM	rrk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_161306_Interlagos_4300133_c_1154.rrk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_154104_Interlagos_4300133_c_1153.drk	470416	e1f007ef0e6ca367f82bbe98a2898c69	AiM	drk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_154104_Interlagos_4300133_c_1153.drk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_151902_Interlagos_4300133_c_1152.drk	793624	0023ff3c5914474f007d54d77a175f5b	AiM	drk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_151902_Interlagos_4300133_c_1152.drk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_125340_Interlagos_4300133_c_1150.drk	628240	83432ea83c7a10de90e314651c98b51e	AiM	drk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_125340_Interlagos_4300133_c_1150.drk
Trabalho/Outras_Categorias/Estudo_outras_series/Race3/F3/Gabriel Bortoleto/F309-016/2021-02-02/Gabriel Bortoleto_F309-016_20210202_154104_Interlagos_4300133_c_1153.gpk	344832	011a02c05bd818c3a2b1fffba442980d	AiM	gpk	Interlagos	F309-016	20210202		Trabalho/Telemetria/F3/Interlagos/Gabriel Bortoleto_F309-016_20210202_154104_Interlagos_4300133_c_1153.gpk
